id,name,minimum_order_quantity,setup_net,color_count_id,print_area_id,print_technique_id,print_bulk_discount_plan_id
1,CO2 Engraving 1,1,25,,,1,1
2,CO2 Engraving 2,1,25,,,1,2
3,CO2 Engraving 3,1,25,,,1,3
4,Custom Card B,1,34,,,2,4
5,Custom sleeve,100,34,,,3,5
6,Digital Print 1,1,34,,,4,6
7,Digital Print 2,1,34,,,4,7
8,Digital Print 3,1,34,,,4,8
9,Digital round 360-1,1,34,,,5,9
10,Digital round 360-2,1,34,,,5,10
11,Digital Transfer OS,1,34,,,6,11
12,Digital Transfer SP,1,34,,,6,12
13,Doming,1,34,,,7,13
14,Embroidery (0cm2 - 25cm2),1,43,,1,8,14
15,Embroidery (25cm2 - 60cm2),1,43,,3,8,15
16,Embroidery (60cm2 - 120cm2),1,43,,5,8,16
17,Embroidery (120cm2 - 180cm2),1,43,,6,8,17
18,Embroidery (180cm2 - 325cm2),1,43,,7,8,18
19,Embroidery 3D (0cm2 - 25cm2),1,43,,1,9,19
20,Embroidery 3D (25cm2 - 60cm2),1,43,,3,9,20
21,Hot Stamping (0cm2 - 25cm2),1,43,,1,10,21
22,Hot Stamping (25cm2 - 60cm2),1,43,,3,10,22
23,Laser Engraving 1,1,25,,,11,1
24,Laser Engraving 2,1,25,,,11,2
25,Laser Engraving 3,1,25,,,11,3
26,Laser Round 360,1,25,,,12,23
27,Leather badge (0cm2 - 50cm2),1,43,,2,13,24
28,Leather badge (50cm2 - 75cm2),1,43,,4,13,25
29,Pad Print (1 color),1,34,1,,14,26
30,Pad Print (2 colors),1,68,2,,14,27
31,Pad Print (3 colors),1,102,3,,14,28
32,Pad Print (4 colors),1,136,4,,14,29
33,Pad Print (5 colors),1,170,5,,14,30
34,Pad Print (6 colors),1,204,6,,14,31
35,Pad Print Drinkware (1 color),1,34,1,,14,32
36,Pad Print Drinkware (2 colors),1,68,2,,14,33
37,Pad Print Drinkware (3 colors),1,102,3,,14,34
38,Pad Print Drinkware (4 colors),1,136,4,,14,35
39,Pad Print Drinkware (5 colors),1,170,5,,14,36
40,Pad Print Drinkware (6 colors),1,204,6,,14,37
41,Pad Print Low (1 color),1,34,1,,14,38
42,Pad Print Low (2 colors),1,68,2,,14,39
43,Pad Print Low (3 colors),1,102,3,,14,40
44,Pad Print Low (4 colors),1,136,4,,14,41
45,Pad Print Low (5 colors),1,170,5,,14,42
46,Pad Print Low (6 colors),1,204,6,,14,43
47,Printed badge (0cm2 - 50cm2),1,43,,2,15,24
48,Printed badge (50cm2 - 75cm2),1,43,,4,15,25
49,PU Label Balti Black,1,43,,,16,24
50,PU Label Balti Green,1,43,,,17,24
51,PU Label Balti Navy,1,43,,,18,24
52,PU Label Brendon,1,43,,,19,24
53,PU Label Sortino,1,43,,,20,24
54,Screen Transfer OS (1 color),1,34,1,,21,44
55,Screen Transfer OS (2 colors),1,68,2,,21,45
56,Screen Transfer OS (3 colors),1,102,3,,21,46
57,Screen Transfer OS (4 colors),1,136,4,,21,47
58,Screen Transfer OS (5 colors),1,170,5,,21,48
59,Screen Transfer OS (6 colors),1,204,6,,21,49
60,SilkScreen (1 color),1,34,1,,22,50
61,SilkScreen Round (1 color),1,34,1,,23,51
62,SilkScreen Round (2 colors),1,68,2,,23,52
63,SilkScreen Textile (1 color),1,34,1,,24,53
64,SilkScreen Textile (2 colors),1,68,2,,24,54
65,SilkScreen Textile (3 colors),1,102,3,,24,55
66,SilkScreen Textile (4 colors),1,136,4,,24,56
67,SilkScreen Textile (5 colors),1,170,5,,24,57
68,Ukiyo Card,1,34,,,25,58